x,y,target
-1.52262,7.14668,9
11.26571,-3.4171,2
-5.74434,-7.7165,1
-6.93247,-3.83119,1
1.48574,-0.42901,6
-4.63278,-6.83403,1
-6.9476,1.22774,4
-0.26759,0.80991,6
-8.35045,4.10297,5
-5.66509,6.2605,7
3.74611,-0.30959,4
-3.64852,6.4414,5
-5.46447,6.51003,7
-6.06304,-4.87184,3
9.08546,-6.80591,4
-5.59902,-3.93473,1
-0.09276,0.66364,2
6.85545,0.01969,4
3.70142,5.35172,8
2.42404,-8.44116,0
9.57714,-1.26064,2
-3.50435,7.21949,5
-1.6263,9.20289,7
-1.8696,9.8562,9
-6.2413,-3.68711,1
-2.54509,1.89654,4
6.93869,-3.90662,6
-0.10556,-10.25754,0
1.33314,7.47971,9
0.39808,-6.68822,3
10.11093,4.19778,8
-9.047,-1.05704,8
-8.52327,-0.9731,3
0.13001,-7.50187,3
-7.14932,-0.27256,8
-3.67306,-0.20474,0
-4.94578,7.99329,7
-7.73052,4.36598,5
-3.1585,9.35191,7
3.6231,7.98965,9
3.26081,-8.5194,6
-6.27341,-7.64395,1
0.59128,-6.87261,3
1.30844,9.57384,7
6.66143,-5.43729,6
-4.47761,4.72224,7
7.28743,-4.52808,2
-4.84265,-6.39071,1
-1.12494,0.4159,2
5.07561,-2.19482,2
10.95354,-2.82588,4
-1.98177,2.34697,4
-7.59053,4.1582,5
13.228,-4.29165,8
-0.65719,-1.356,2
9.14834,-1.53205,2
8.8842,5.91082,8
4.41348,-1.25466,4
6.18796,7.01206,8
-4.59172,0.23998,0
-4.42533,6.92282,7
-2.02986,7.8215,7
6.99143,7.10985,8
-6.11378,4.67793,5
-5.29669,-8.31571,1
-7.17031,-1.37957,1
-3.69685,0.19322,2
-2.58871,-6.93477,3
-3.00825,5.13755,9
9.14182,4.03252,8
-4.185,6.09652,7
-5.74666,0.60585,0
13.89213,-5.36856,2
4.12552,-9.17546,6
5.17873,-5.26181,2
-6.13288,0.44122,3
-4.91919,-7.14985,1
10.85339,-5.31491,2
6.38394,7.97043,8
8.89735,-3.03242,4
-6.54263,-0.31285,1
7.68616,3.62685,8
-7.96212,6.10931,5
6.16235,8.93262,9
-5.67016,6.61896,5
1.78585,-8.51108,0
-2.59444,-8.34092,3
7.57675,-6.14669,2
1.18085,-7.71548,0
11.98537,-3.56398,6
-7.87933,5.93713,5
-6.48032,0.77329,3
7.22649,-6.05863,6
-1.30876,9.4686,7
-5.83027,-5.7205,1
6.38811,6.16774,8
-3.71459,0.43041,0
-4.7817,-4.25871,1
10.28647,-5.58495,4
8.8694,-2.69522,2
-6.17386,-2.87888,3
3.19421,-2.08997,6
-4.92107,6.54101,7
1.5089,-1.78798,2
-1.32494,8.63206,7
0.48266,4.31357,8
-7.83403,5.46665,5
0.1349,6.91472,9
3.59602,6.09485,9
4.70365,-1.59169,4
0.15344,1.33911,2
-7.72789,6.19277,5
-4.71843,6.89958,7
3.28352,-7.13314,0
-9.01324,4.00256,5
11.63489,-4.68892,2
3.10037,5.30429,8
0.7236,-0.00435,6
-4.92373,6.86977,7
12.53296,-1.36606,8
-1.73513,-5.87043,0
3.81247,-10.58277,0
-1.25762,5.01095,9
3.76897,9.29994,9
-0.27762,-10.40878,3
2.36118,-7.83529,0
2.24653,2.89446,8
7.24172,-1.81227,4
-5.96923,-2.38672,1
-8.66323,4.11882,5
6.14131,-5.08594,4
-7.40261,-4.41884,1
1.09542,7.8885,9
-4.7489,-5.02621,1
9.83929,2.51855,8
-1.88236,0.95161,6
4.02258,-2.06663,2
-6.99105,-6.41859,1
0.11349,-1.13803,2
-4.87052,5.43625,5
-5.5099,-6.5234,1
9.18923,-9.79225,0
-4.54948,-0.34641,0
2.77274,-8.95896,0
-6.60044,-4.00125,1
8.65072,-7.38733,6
-6.24365,-2.38519,1
-4.33596,-8.14083,6
9.38773,-6.97335,2
5.62066,-5.04875,2
-0.36512,-0.87205,4
3.60651,-0.37705,4
-4.50488,-6.71785,1
1.8155,-4.89735,4
-7.933,4.48769,5
7.10983,-7.29674,0
1.58094,-3.93011,4
-4.68286,7.05792,7
3.31047,7.95369,9
-3.06756,-9.59593,3
-3.31903,6.5589,7
5.28295,-2.308,2
-2.43666,-9.52012,3
-1.93879,7.10509,9
-5.37595,0.28024,0
3.39696,8.71625,9
8.50786,-4.37403,4
1.05359,7.55119,7
6.68909,-3.68629,4
9.02864,-4.30428,2
-0.90442,-5.34741,0
-7.44295,4.50953,5
8.3171,-2.73905,2
-7.33915,-3.98429,1
11.45762,-5.12842,2
-0.29852,-1.88646,1
-2.84281,-1.51793,3
3.77145,-8.74104,0
3.04388,10.14325,9
-5.84717,-4.47723,1
0.22494,-5.01597,0
2.36181,7.92822,9
4.78125,-9.87509,3
