x,y,target
-5.86671,2.5108,9
7.31379,4.22787,2
1.52461,-6.0094,1
-1.32025,-5.97798,1
1.04937,0.3982,6
1.14406,-4.99997,1
-3.47639,-2.21795,4
-0.83355,-0.33845,6
-7.28228,-2.2934,5
-6.61672,0.06322,7
1.92381,1.15226,4
-6.16706,1.09487,5
-6.13777,0.40488,7
-0.22906,-4.78302,3
8.7607,2.91056,4
-0.74878,-5.81397,1
-0.60352,-0.21928,2
3.03719,1.55065,4
-1.4143,4.5672,8
6.04584,-2.52374,0
5.4856,2.60468,2
-5.78868,1.39204,5
-5.35571,3.30239,7
-5.6543,3.10108,9
-1.22388,-5.65127,1
-2.70182,-0.72785,4
6.09257,2.15228,6
6.15018,-4.53524,0
-4.04982,4.39299,9
4.13257,-3.12209,3
2.13996,5.65627,8
-1.76497,-1.81053,8
-3.48828,-4.35366,3
3.86323,-2.88852,3
-0.18033,1.04468,8
-2.08306,-3.00433,0
-5.83784,0.79076,7
-7.41982,-2.00581,5
-5.26126,2.31395,7
-2.79631,5.39415,9
6.35267,-1.80166,6
1.23143,-5.76458,1
4.25121,-3.07128,3
-4.12613,4.76447,7
7.24137,1.57678,6
-6.03232,0.46095,7
6.88451,2.32933,2
1.22432,-5.81277,1
-1.06553,-0.9257,2
4.42493,1.98712,2
6.96742,3.37905,4
-2.77362,-0.09648,4
-7.09158,-1.87346,5
9.3232,5.64026,8
0.38444,-1.85992,2
5.59876,2.84855,2
0.95943,6.53015,8
3.01192,1.30617,4
-0.94738,5.48806,8
-2.87743,-3.24958,0
-6.42036,1.00775,7
-5.73227,2.77567,7
-0.83994,5.50364,8
-6.67579,-0.63053,5
2.12196,-6.11901,1
-3.22619,-5.21012,1
-2.55395,-2.79243,2
2.4167,-4.55209,3
-5.48638,0.80827,9
1.72781,5.37446,8
-6.11097,0.69215,7
-3.60223,-3.58593,0
9.60834,5.10403,2
7.5894,-1.84073,6
5.73067,0.4636,2
-4.21889,-4.19751,3
1.66858,-6.02745,1
8.63701,3.71353,2
-1.43785,6.40291,8
6.90265,3.73104,4
-3.62782,-4.68747,1
1.4868,4.61694,8
-5.75226,0.74807,5
-1.18045,6.96085,9
-6.60844,0.59565,5
5.99017,-3.03939,0
3.25435,-4.90211,3
7.34097,1.79217,2
5.15443,-3.17696,0
7.93161,4.30304,6
-7.49938,-0.75211,5
-4.38611,-3.72121,3
7.64442,1.55483,6
-4.86437,3.50856,7
0.34378,-6.11024,1
-0.58409,5.50389,8
-2.70519,-2.71623,0
-0.18165,-5.49246,1
9.09569,3.94602,4
6.12727,3.11482,2
-1.45412,-5.02224,3
3.09836,0.55202,6
-6.71361,0.39674,7
1.67323,-0.37172,2
-5.07949,3.31716,7
-2.81869,2.39403,8
-6.89618,-1.11484,5
-4.55782,3.14096,9
-2.20082,3.06597,9
3.81803,1.9312,4
-0.92137,0.10951,2
-7.15084,-0.61628,5
-6.01795,0.62683,7
5.33725,-1.31656,0
-6.61054,-0.98522,5
7.9614,3.57437,2
-1.86995,4.25506,8
0.32035,0.07951,6
-6.24357,0.49917,7
7.72579,6.1412,8
1.10234,-2.25687,0
6.98807,-1.74415,0
-4.39075,1.70604,9
-3.08447,5.87011,9
6.13236,-4.81586,3
5.55061,-2.25357,0
-0.89315,0.83962,8
4.8301,2.79844,4
-1.8786,-5.01384,1
-7.72477,-2.13919,5
6.33094,1.38893,4
-1.01207,-5.98939,1
-3.82067,3.11139,9
0.38311,-5.56306,1
3.49326,6.34347,8
-1.72148,-1.04542,6
3.74312,1.36094,2
0.31381,-6.20884,1
0.57402,-1.13886,2
-6.28229,0.33784,5
0.89158,-5.56095,1
9.2891,2.06719,0
-2.26233,-3.33701,0
6.52158,-2.37641,0
-0.94148,-5.67741,1
7.65335,2.85196,6
-2.12795,-5.54454,1
