x,y,target
-54.8808,22.39774,9
10.20574,-69.10178,2
82.02512,5.21391,1
84.55824,23.48443,1
-7.36153,-36.29616,6
78.51521,-0.73547,1
9.40085,-8.2843,4
6.51538,-19.73164,6
-10.90076,37.88074,5
-21.88647,55.27884,7
23.19747,-69.8151,4
-38.22532,31.11329,5
-30.62196,42.94749,7
38.34948,19.63341,3
17.10942,-51.75408,4
71.82502,22.37103,1
-4.03613,-31.63733,2
-1.67544,-40.67559,4
-47.68388,-51.02865,8
7.40758,51.1664,0
-16.98005,-52.04715,2
-47.48308,63.78608,5
-48.70174,53.97914,7
-59.28881,36.86939,9
65.60934,33.10786,1
1.74052,-16.34302,4
15.25466,-57.10249,6
39.85202,-2.38651,0
-68.24227,15.11548,9
44.27658,-20.22024,3
-29.87825,-25.56573,8
-17.32562,-6.52156,8
34.64803,24.94959,3
57.1577,-20.09293,3
-24.15347,-10.44127,8
7.28904,15.78349,0
-25.91767,58.65179,7
-12.61631,39.13423,5
-36.66885,67.71361,7
-63.01072,3.21423,9
23.53486,43.8423,6
80.29416,18.89631,1
35.1754,-3.90532,3
-59.00479,29.44075,7
26.85852,-45.72974,6
-46.56286,17.04306,7
-6.1255,-58.10255,2
74.494,22.79267,1
2.43655,-18.20597,2
13.13549,-46.94791,2
-12.87436,-60.65401,4
-0.80866,-17.68604,4
-17.99103,36.36889,5
-23.06768,-56.97911,8
20.74931,-20.41134,2
-13.12488,-61.44981,2
-43.11357,-49.13306,8
18.78477,-41.04719,4
-50.19926,-48.26022,8
5.4065,14.64592,0
-27.8797,62.3372,7
-50.14156,52.93712,7
-39.16568,-29.70124,8
-27.00758,34.04543,5
77.6981,6.45752,1
66.22987,22.70891,1
18.26325,4.96982,2
49.89381,-11.16851,3
-48.63279,32.08457,9
-28.48306,-24.95489,8
-33.45778,52.24762,7
2.14314,12.19578,0
-17.65225,-57.51451,2
35.5671,-7.13933,6
36.09888,-46.98458,2
10.41955,5.65504,3
70.27062,9.66959,1
7.51471,-70.68279,2
-37.29363,-45.53282,8
2.33664,-59.66958,4
60.15151,20.10804,1
-27.64506,-30.75384,8
-26.77952,14.09858,5
-68.75585,5.61175,9
-26.35031,27.1552,5
25.94895,48.17152,0
40.07536,5.19307,3
24.2332,-49.01474,2
18.88509,50.10691,0
-15.84399,-57.64551,6
-23.1079,30.73904,5
10.50448,4.16611,3
23.73661,-45.72642,6
-47.87063,59.09784,7
76.36968,16.59777,1
-46.59208,-48.95198,8
2.80837,14.68811,0
72.08865,22.55967,1
-9.79441,-56.18744,4
9.4686,-72.32147,2
33.70646,17.57471,3
13.56606,-44.26579,6
-38.67851,56.88692,7
22.79986,-23.85177,2
-50.09538,53.95814,7
-41.41246,-39.70418,8
-10.86039,40.80217,5
-56.46842,21.03507,9
-60.15422,-15.17913,9
13.74628,-60.16481,4
0.2304,-25.40844,2
-16.51699,41.26621,5
-23.88135,64.03278,7
5.91331,41.66364,0
-27.58298,11.06227,5
-7.86462,-65.68275,2
-43.49395,-43.67916,8
-8.67778,-26.5147,6
-22.40221,58.33603,7
-21.90425,-56.52119,8
-17.27313,-2.43277,0
12.55836,44.94998,0
-50.75711,15.88948,9
-62.39577,6.53288,9
52.80591,4.74701,3
10.20239,42.62146,0
-21.52282,-23.42079,8
32.6011,-58.98977,4
61.50898,15.27002,1
-30.10321,14.76839,5
30.5455,-47.01388,4
59.23519,32.3348,1
-56.94114,11.34821,9
81.26253,8.03286,1
-34.92794,-51.21621,8
5.15446,-17.55154,6
12.11663,-48.81973,2
81.44852,19.91177,1
18.88273,-19.30872,2
-33.21553,38.27195,5
78.8348,16.79856,1
-17.6725,-45.91641,0
6.35003,15.71712,0
16.02563,48.48751,0
87.25641,9.34798,1
-16.52761,-45.64838,6
67.72275,21.7198,1
54.17428,-7.36705,6
-3.3716,-64.80776,2
26.67076,-43.97546,2
21.37417,-12.55677,4
1.67181,-40.37653,4
74.79856,18.89082,1
41.45377,-28.08298,4
-14.57042,38.79099,5
-16.43908,-45.8044,0
38.75221,-27.68467,4
-40.75169,61.98424,7
-64.38473,4.33629,9
50.85218,7.2909,3
-39.37946,52.22113,7
12.4354,-69.711,2
41.56228,4.5543,3
-54.69068,22.75887,9
5.16474,15.45965,0
-62.9795,6.80002,9
12.53324,-61.91996,4
-56.70483,33.09776,7
17.54763,-48.52486,4
-5.53071,-59.74083,2
27.90472,42.24788,0
-21.74105,34.10415,5
9.04127,-59.13675,2
58.78676,31.94013,1
-7.98602,-65.95042,2
28.81277,-19.68363,1
24.18412,-7.4131,3
20.4753,44.86507,0
-59.09006,4.05674,9
83.24041,21.26016,1
12.76701,38.44621,0
-60.46269,6.48203,9
53.18042,-26.18944,3
-0.77908,43.40914,6
-22.95609,62.47695,7
-62.60381,-10.78794,9
-57.86513,21.4656,9
30.55481,-47.26809,4
24.72622,-55.29773,4
-19.88693,63.62332,7
62.60735,-2.86116,1
-2.02413,-9.98516,2
39.20538,9.91808,1
-3.60168,-59.87677,6
36.24828,20.80439,3
-0.1605,-46.23524,2
-51.76841,-44.70166,8
45.96006,-17.39001,3
0.54194,1.88954,6
77.72371,17.51901,1
73.17021,20.35614,1
8.0093,27.10315,0
14.6647,-23.25515,2
-55.39474,-0.52728,9
6.59462,-15.689,2
13.82321,-63.87786,4
10.12083,22.56251,0
-28.082,62.9302,7
-62.2603,4.14707,9
-15.83471,-6.14291,8
18.03784,-49.55219,4
60.2849,30.4309,1
-30.23982,-31.04465,8
27.88865,-26.28427,4
78.29265,20.09286,1
35.38568,7.35407,3
62.23053,3.48177,1
-0.39592,-9.77199,6
-23.25919,61.85242,7
37.78432,-52.49579,2
-44.11671,-38.79882,8
-42.70782,15.92258,5
11.11757,-1.42733,2
14.29942,55.79033,0
-48.17506,52.97806,7
-30.28905,65.26392,7
13.93112,18.20107,6
17.20834,-54.31487,2
-26.44059,51.21582,7
24.30018,34.58659,0
-30.72182,46.67581,7
-47.56092,-48.51706,8
-59.7868,-3.90498,9
-9.18662,-65.67123,2
-59.48792,-3.73698,9
12.18012,29.06858,0
-41.02379,24.29005,5
64.52421,20.9777,1
23.64359,-20.98234,4
1.98783,-71.48077,4
-41.02841,14.65725,5
-8.82625,-31.17221,6
-65.60492,-14.98805,9
8.94593,-9.49891,2
34.28022,-65.29874,6
-45.92332,-50.64206,8
12.17866,-18.01091,6
35.87664,-51.62963,4
